Номер подзаписи;№ бюллетеня;Вопрос;Голос;ФИО члена НК;Номер пункта/подпункта;Тип вопроса;Неголосующий;Дата
29;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Нургалиев Данис Карлович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
30;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Сидоров Александр Леонидович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
31;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Посягин Борис Сергеевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
32;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Замрий Анатолий Владимирович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
2;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Шмаль Генадий Иосифович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
3;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Иванов Виктор Петрович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
4;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Яруллин Рафинат Саматович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
5;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Максимов Антон Львович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
6;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;НГ;Кантюков Рафкат Абдулхаевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
7;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Забозлаев Алексей Геннадьевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
8;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Бакиев Эдуард Мунирович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
9;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Мамин Виктор Викторович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
10;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Шамин Андрей Юрьевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
11;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Слепнёв Николай Сергеевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
12;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Федоров Юрий Викторович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
13;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Богуславский Ирек Борисович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
14;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;НГ;Метшин Айдар Раисович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
15;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;НГ;Сорокин Павел Юрьевич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
16;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;-;Иванов Михаил Игоревич;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
26;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Радинский Константин Олегович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
27;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Салыгин Валерий Иванович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
28;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Рогалёв Николай Дмитриевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
29;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Нургалиев Данис Карлович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
30;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Сидоров Александр Леонидович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
31;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;-;Посягин Борис Сергеевич;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
32;16;Включить в состав Наградного комитета: Баулина Олега Александровича – ректора Уфимского государственного нефтяного технического университета.;З;Замрий Анатолий Владимирович;1.100000023841858;УЧРЕЖДЕНИЕ НАГРАД;False;
32;16;Наградить медалью Грайфера II степени БУ ВО ХМАО-Югры «Сургутский государственный университет»;З;Замрий Анатолий Владимирович;6.5;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
1;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";-;Шафраник Юрий Константинович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
2;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";-;Шмаль Генадий Иосифович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
3;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Иванов Виктор Петрович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
4;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Яруллин Рафинат Саматович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
18;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Сигов Александр Сергеевич;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
19;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Крюков Валерий Анатольевич;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
20;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Курочкин Дмитрий Николаевич;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
21;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";-;Агеев Шамиль Рахимович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
22;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";-;Корчагин Александр Викторович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
23;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";НГ;Ковальчук Владимир Николаевич;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
24;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Важенин Юрий Иванович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
25;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Молодцов Кирилл Валентинович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
26;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Радинский Константин Олегович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
27;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Салыгин Валерий Иванович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
28;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";-;Рогалёв Николай Дмитриевич;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
29;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";-;Нургалиев Данис Карлович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
30;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Сидоров Александр Леонидович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
1;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Шафраник Юрий Константинович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
2;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Шмаль Генадий Иосифович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
3;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Иванов Виктор Петрович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
4;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Яруллин Рафинат Саматович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
5;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Максимов Антон Львович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
6;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;НГ;Кантюков Рафкат Абдулхаевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
7;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Забозлаев Алексей Геннадьевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
8;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Бакиев Эдуард Мунирович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
9;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Мамин Виктор Викторович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
10;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Шамин Андрей Юрьевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
11;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Слепнёв Николай Сергеевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
12;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Федоров Юрий Викторович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
13;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Богуславский Ирек Борисович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
14;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;НГ;Метшин Айдар Раисович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;True;
15;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;НГ;Сорокин Павел Юрьевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;True;
16;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Иванов Михаил Игоревич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
17;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Дмитриевский Анатолий Николаевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
18;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Сигов Александр Сергеевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
19;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Крюков Валерий Анатольевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
20;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Курочкин Дмитрий Николаевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
21;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Агеев Шамиль Рахимович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
22;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Корчагин Александр Викторович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
23;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;НГ;Ковальчук Владимир Николаевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;True;
24;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Важенин Юрий Иванович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
25;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Молодцов Кирилл Валентинович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
26;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Радинский Константин Олегович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
27;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Салыгин Валерий Иванович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
28;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Рогалёв Николай Дмитриевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
29;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Нургалиев Данис Карлович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
30;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Сидоров Александр Леонидович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
31;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;-;Посягин Борис Сергеевич;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
32;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Яруллину Рафинату Саматовичу;З;Замрий Анатолий Владимирович;2.0999999046325684;УЧРЕЖДЕНИЕ НАГРАД;False;
1;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Шафраник Юрий Константинович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
2;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Шмаль Генадий Иосифович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
3;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Иванов Виктор Петрович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
4;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Яруллин Рафинат Саматович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
5;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Максимов Антон Львович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
6;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;НГ;Кантюков Рафкат Абдулхаевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
7;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Забозлаев Алексей Геннадьевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
8;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;З;Бакиев Эдуард Мунирович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
9;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Мамин Виктор Викторович;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
10;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Иванову Виктору Петровичу;-;Шамин Андрей Юрьевич;2.200000047683716;УЧРЕЖДЕНИЕ НАГРАД;False;
1;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;-;Шафраник Юрий Константинович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
2;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;-;Шмаль Генадий Иосифович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
3;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;З;Иванов Виктор Петрович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
4;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;З;Яруллин Рафинат Саматович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
5;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;З;Максимов Антон Львович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
6;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;НГ;Кантюков Рафкат Абдулхаевич;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
7;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;З;Забозлаев Алексей Геннадьевич;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
8;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;З;Бакиев Эдуард Мунирович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
9;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;-;Мамин Виктор Викторович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
10;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;-;Шамин Андрей Юрьевич;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
11;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;З;Слепнёв Николай Сергеевич;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
31;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";-;Посягин Борис Сергеевич;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
32;16;"Наградить медалью Грайфера II степени АУ ""Югорский научно-исследовательский институт информационных технологий""";З;Замрий Анатолий Владимирович;6.599999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
2;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Шмаль Генадий Иосифович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
3;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Иванов Виктор Петрович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
4;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Яруллин Рафинат Саматович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
5;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Максимов Антон Львович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
6;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;НГ;Кантюков Рафкат Абдулхаевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
7;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Забозлаев Алексей Геннадьевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
8;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Бакиев Эдуард Мунирович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
9;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Мамин Виктор Викторович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
10;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Шамин Андрей Юрьевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
11;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Слепнёв Николай Сергеевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
12;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Федоров Юрий Викторович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
13;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Богуславский Ирек Борисович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
14;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;НГ;Метшин Айдар Раисович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
15;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;НГ;Сорокин Павел Юрьевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
16;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Иванов Михаил Игоревич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
17;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Дмитриевский Анатолий Николаевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
18;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Сигов Александр Сергеевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
19;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Крюков Валерий Анатольевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
20;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Курочкин Дмитрий Николаевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
21;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Агеев Шамиль Рахимович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
22;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Корчагин Александр Викторович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
23;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;НГ;Ковальчук Владимир Николаевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
24;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Важенин Юрий Иванович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
25;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;П;Молодцов Кирилл Валентинович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
26;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Радинский Константин Олегович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
27;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Салыгин Валерий Иванович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
28;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Рогалёв Николай Дмитриевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
29;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Нургалиев Данис Карлович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
30;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Сидоров Александр Леонидович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
31;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;-;Посягин Борис Сергеевич;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
32;16;Наградить медалью Грайфера III степени Ковалёва Никиту Олеговича;З;Замрий Анатолий Владимирович;7.099999904632568;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
12;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;-;Федоров Юрий Викторович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
13;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;-;Богуславский Ирек Борисович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
14;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;НГ;Метшин Айдар Раисович;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;True;
15;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;НГ;Сорокин Павел Юрьевич;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;True;
16;16;Предоставить право подписывать наградное удостоверение и награждать Медалью Хаджиева С.Н.: Максимову Антону Львовичу;-;Иванов Михаил Игоревич;2.299999952316284;УЧРЕЖДЕНИЕ НАГРАД;False;
